73	4.746429E-9	7.859970E-9	2.811009E-10	2.134687E+1	1.000021348E+2	2.134842E+1	1.192576E-3	1.405464E-4
74	6.942857E-9	7.847407E-9	2.775080E-10	2.134797E+1	1.000021348E+2	2.134842E+1	1.185481E-3	1.387500E-4
75	2.925000E-9	7.780888E-9	2.816986E-10	2.134596E+1	1.000021348E+2	2.134838E+1	1.211597E-3	1.408453E-4
76	4.285714E-9	7.734286E-9	2.817974E-10	2.134664E+1	1.000021348E+2	2.134836E+1	1.220184E-3	1.408947E-4
77	6.107143E-9	7.712876E-9	2.788878E-10	2.134755E+1	1.000021348E+2	2.134835E+1	1.215609E-3	1.394399E-4
78	4.682143E-9	7.673516E-9	2.780421E-10	2.134683E+1	1.000021348E+2	2.134833E+1	1.219870E-3	1.390171E-4
79	6.578571E-9	7.659478E-9	2.748131E-10	2.134778E+1	1.000021348E+2	2.134832E+1	1.213507E-3	1.374026E-4
80	3.385714E-9	7.605380E-9	2.766531E-10	2.134619E+1	1.000021348E+2	2.134830E+1	1.229438E-3	1.383226E-4
81	9.750000E-9	7.632187E-9	2.744852E-10	2.134937E+1	1.000021348E+2	2.134831E+1	1.227500E-3	1.372387E-4
82	4.542857E-9	7.594047E-9	2.737453E-10	2.134677E+1	1.000021348E+2	2.134829E+1	1.231819E-3	1.368687E-4
83	2.378571E-9	7.530444E-9	2.777664E-10	2.134568E+1	1.000021348E+2	2.134826E+1	1.257605E-3	1.388792E-4
84	4.875000E-9	7.498451E-9	2.762582E-10	2.134693E+1	1.000021348E+2	2.134824E+1	1.258380E-3	1.381251E-4
85	7.125000E-9	7.494005E-9	2.729858E-10	2.134806E+1	1.000021348E+2	2.134824E+1	1.250942E-3	1.364890E-4
86	5.775000E-9	7.473781E-9	2.705121E-10	2.134738E+1	1.000021348E+2	2.134823E+1	1.246964E-3	1.352522E-4
87	4.221429E-9	7.435963E-9	2.700097E-10	2.134660E+1	1.000021348E+2	2.134821E+1	1.251948E-3	1.350010E-4
88	6.021429E-9	7.419704E-9	2.673829E-10	2.134750E+1	1.000021348E+2	2.134820E+1	1.246955E-3	1.336876E-4
89	4.992857E-9	7.392126E-9	2.657617E-10	2.134699E+1	1.000021348E+2	2.134819E+1	1.246497E-3	1.328770E-4
90	7.596429E-9	7.394422E-9	2.627687E-10	2.134829E+1	1.000021348E+2	2.134819E+1	1.239442E-3	1.313806E-4
91	3.621429E-9	7.352500E-9	2.631928E-10	2.134630E+1	1.000021348E+2	2.134817E+1	1.248397E-3	1.315926E-4
92	4.650000E-9	7.322802E-9	2.619733E-10	2.134682E+1	1.000021348E+2	2.134816E+1	1.249497E-3	1.309829E-4
93	6.289286E-9	7.311568E-9	2.593535E-10	2.134764E+1	1.000021348E+2	2.134815E+1	1.243780E-3	1.296730E-4
94	3.975000E-9	7.275691E-9	2.590460E-10	2.134648E+1	1.000021348E+2	2.134813E+1	1.249039E-3	1.295193E-4
95	6.932143E-9	7.272036E-9	2.563015E-10	2.134796E+1	1.000021348E+2	2.134813E+1	1.242432E-3	1.281471E-4
96	1.082143E-9	7.206880E-9	2.618261E-10	2.134503E+1	1.000021348E+2	2.134810E+1	1.275946E-3	1.309093E-4
97	2.946429E-9	7.162500E-9	2.628579E-10	2.134597E+1	1.000021348E+2	2.134808E+1	1.287698E-3	1.314252E-4
98	2.989286E-9	7.119477E-9	2.636676E-10	2.134599E+1	1.000021348E+2	2.134805E+1	1.298375E-3	1.318300E-4
99	1.971429E-9	7.066946E-9	2.661979E-10	2.134548E+1	1.000021348E+2	2.134803E+1	1.317575E-3	1.330951E-4
100	2.475000E-9	7.020563E-9	2.675466E-10	2.134573E+1	1.000021348E+2	2.134800E+1	1.330990E-3	1.337695E-4
